net,length_um
_0085_,23.14µm
_0128_,22.92µm
_0318_,22.7µm
net11,22.62µm
net64,22.16µm
_0090_,21.98µm
_0107_,21.81µm
araddr[0],21.59µm
net15,21.26µm
PADDR[2],21.13µm
_0322_,21.12µm
_0361_,20.74µm
lenM\[2\],20.72µm
_0305_,20.64µm
i\[3\],20.47µm
_0057_,20.16µm
_0011_,20.04µm
_0300_,20.02µm
_0306_,20µm
rdata[5],19.74µm
_0103_,19.7µm
_0307_,19.7µm
net255,19.66µm
_0105_,19.62µm
net257,19.56µm
_0111_,19.54µm
_0169_,19.5µm
addr\[4\],19.475µm
_0319_,19.46µm
rdata[3],19.46µm
rdata[10],19.38µm
_0113_,19.16µm
PSEL3,19.13µm
_0195_,19.04µm
_0367_,18.98µm
net20,18.94µm
net69,18.94µm
_0108_,18.86µm
_0334_,18.62µm
_0015_,18.52µm
awburst[0],18.5µm
_0002_,18.46µm
arlen[1],18.46µm
PADDR[0],18.45µm
_0176_,18.36µm
_0205_,18.34µm
_0153_,18.14µm
PWDATA[5],18.11µm
_0238_,17.86µm
_0354_,17.78µm
last,17.58µm
net30,17.58µm
_0374_,17.46µm
awburst[1],17.2µm
DDATA\[11\]\[5\],17.18µm
net258,17.02µm
DADDR\[2\],16.9µm
_0225_,16.88µm
net222,16.86µm
net94,16.68µm
_0104_,16.545µm
rdata[13],16.5µm
DDATA\[9\]\[10\],16.42µm
clknet_0_clk,16.42µm
net70,16.22µm
_0366_,16.18µm
net55,16.18µm
PRDATA[3],15.95µm
_0089_,15.88µm
PRDATA[8],15.87µm
PSEL4,15.87µm
arready,15.87µm
net65,15.68µm
PRDATA[5],15.61µm
_0323_,15.38µm
arlen[2],15.36µm
_0337_,15.315µm
net49,15.26µm
net32,14.695µm
_0211_,14.68µm
rdata[4],14.52µm
_0249_,14.48µm
awvalid,14.44µm
PADDR[1],14.37µm
net13,14.32µm
DDATA\[2\]\[2\],14.24µm
_0330_,14.24µm
wdata[6],14.08µm
_0355_,14.02µm
DDATA\[8\]\[5\],13.96µm
_0161_,13.84µm
bvalid,13.76µm
DDATA\[8\]\[6\],13.66µm
net253,13.5µm
DDATA\[10\]\[5\],13.44µm
_0270_,13.4µm
_0028_,13.36µm
net22,13.36µm
net87,13.36µm
net92,13.34µm
_0179_,13.3µm
lenS\[3\],13.24µm
DDATA\[1\]\[1\],13.22µm
net3,13.12µm
_0125_,13.04µm
PSEL2,12.99µm
_0097_,12.96µm
_0012_,12.92µm
PRDATA[7],12.86µm
net265,12.6µm
_0165_,12.54µm
_0180_,12.52µm
wdata[15],12.4µm
bresp,12.38µm
_0335_,12.28µm
_0088_,12.24µm
_0076_,12.18µm
_0003_,12.16µm
wlast,12.14µm
_0036_,12.04µm
_0117_,11.92µm
_0291_,11.92µm
PWDATA[2],11.91µm
_0086_,11.82µm
_0369_,11.82µm
_0383_,11.76µm
wdata[0],11.7µm
arlen[3],11.68µm
awlen[2],11.68µm
awlen[3],11.68µm
res_n,11.68µm
wdata[13],11.68µm
wdata[1],11.68µm
wdata[4],11.68µm
_0093_,11.66µm
DDATA\[10\]\[1\],11.58µm
_0349_,11.48µm
_0215_,11.42µm
_0130_,11.34µm
_0339_,11.3µm
_0154_,11.26µm
_0049_,11.24µm
_0343_,11.05µm
_0033_,11.02µm
_0240_,11.02µm
_0274_,11µm
rlast,11µm
_0276_,10.96µm
net7,10.92µm
PREADY,10.88µm
arlen[0],10.88µm
_0100_,10.84µm
_0166_,10.78µm
_0268_,10.78µm
PRDATA[13],10.76µm
PRDATA[1],10.76µm
PRDATA[4],10.76µm
_0223_,10.76µm
awlen[0],10.76µm
awlen[1],10.76µm
rready,10.76µm
wdata[5],10.76µm
wvalid,10.76µm
_0156_,10.72µm
_0092_,10.655µm
