net,length_um
addr\[3\],20.82µm
_0229_,20.46µm
DADDR\[1\],20.115µm
_0084_,20µm
_0316_,20µm
_0094_,19.9µm
_0195_,19.89µm
_0132_,19.73µm
_0249_,19.64µm
last,19.44µm
araddr[2],19.35µm
_0057_,19.28µm
_0318_,18.99µm
_0320_,18.9µm
_0131_,18.81µm
_0110_,18.78µm
clknet_0_clk,18.78µm
_0298_,18.52µm
_0305_,18.52µm
arlen[1],18.46µm
PSEL3,18.45µm
net13,18.44µm
_0335_,18.42µm
arlen[2],18.42µm
DDATA\[11\]\[6\],18.22µm
DWREQ\[0\],18.1µm
_0128_,17.74µm
_0104_,17.72µm
_0379_,17.71µm
_0176_,17.7µm
_0012_,17.68µm
_0322_,17.32µm
_0354_,17.26µm
awburst[1],17.2µm
i\[3\],17.2µm
_0105_,17.04µm
_0165_,17.04µm
_0334_,16.94µm
DDATA\[15\]\[11\],16.84µm
DADDR\[2\],16.82µm
net66,16.8µm
net55,16.64µm
_0069_,16.6µm
rdata[5],16.52µm
lenS\[3\],16.36µm
_0085_,16.32µm
_0287_,16.04µm
PRDATA[3],15.95µm
lenM\[2\],15.92µm
PRDATA[8],15.87µm
_0051_,15.76µm
PRDATA[5],15.61µm
_0319_,15.565µm
_0086_,15.44µm
_0003_,15.3µm
_0225_,15.28µm
PWDATA[1],15.17µm
net39,15.14µm
current_state\[2\],15.11µm
net94,15.1µm
_0336_,15.02µm
PRDATA[14],15.01µm
_0364_,14.86µm
net22,14.66µm
_0215_,14.6µm
_0330_,14.6µm
_0266_,14.48µm
_0267_,14.36µm
net88,14µm
_0306_,13.98µm
net92,13.96µm
_0366_,13.86µm
_0148_,13.78µm
net18,13.54µm
net24,13.36µm
rdata[13],13.3µm
_0028_,13.22µm
_0238_,13.08µm
wlast,13.06µm
DDATA\[8\]\[3\],13.04µm
_0261_,12.98µm
_0186_,12.94µm
DDATA\[12\]\[8\],12.92µm
_0119_,12.8µm
_0241_,12.8µm
_0049_,12.7µm
_0136_,12.64µm
_0349_,12.62µm
awvalid,12.6µm
PADDR[1],12.59µm
_0133_,12.24µm
_0188_,12.18µm
_0093_,12.12µm
_0256_,12.04µm
_0223_,12.02µm
_0301_,11.94µm
bvalid,11.92µm
PADDR[0],11.91µm
net54,11.78µm
_0038_,11.7µm
arlen[3],11.68µm
awlen[2],11.68µm
awlen[3],11.68µm
rdata[3],11.68µm
res_n,11.68µm
wdata[13],11.68µm
wdata[1],11.68µm
wdata[4],11.68µm
PSEL2,11.65µm
net4,11.6µm
_0358_,11.54µm
burst\[0\],11.48µm
DDATA\[3\]\[1\],11.4µm
_0339_,11.3µm
DDATA\[15\]\[8\],11.24µm
_0314_,11.24µm
DDATA\[3\]\[14\],11.08µm
wdata[12],11.02µm
_0307_,11µm
_0378_,11µm
net215,11µm
_0227_,10.94µm
arlen[0],10.88µm
DDATA\[10\]\[15\],10.82µm
PRDATA[13],10.76µm
PRDATA[1],10.76µm
PRDATA[4],10.76µm
awlen[0],10.76µm
awlen[1],10.76µm
rready,10.76µm
wdata[5],10.76µm
wvalid,10.76µm
DDATA\[11\]\[0\],10.74µm
_0211_,10.64µm
DDATA\[4\]\[11\],10.6µm
DDATA\[6\]\[15\],10.6µm
awready,10.54µm
bresp,10.54µm
rlast,10.54µm
rresp,10.54µm
rvalid,10.54µm
wready,10.54µm
_0161_,10.5µm
_0383_,10.5µm
_0076_,10.48µm
PREADY,10.42µm
net40,10.4µm
net71,10.34µm
PENABLE,10.29µm
DDATA\[8\]\[9\],10.28µm
_0386_,10.28µm
DDATA\[10\]\[8\],10.2µm
DDATA\[11\]\[10\],10.12µm
_0331_,10.1µm
wdata[9],10.1µm
DDATA\[13\]\[13\],10.085µm
lenM\[3\],10.08µm
_0343_,10.05µm
DDATA\[7\]\[15\],9.98µm
_0141_,9.94µm
DWREQ\[1\],9.9µm
net19,9.9µm
DDATA\[13\]\[1\],9.88µm
_0147_,9.86µm
_0200_,9.845µm
_0103_,9.8µm
net93,9.78µm
DDATA\[2\]\[0\],9.7µm
DDATA\[1\]\[15\],9.64µm
DDATA\[2\]\[1\],9.64µm
_0384_,9.64µm
wdata[0],9.64µm
wdata[11],9.64µm
wdata[14],9.64µm
DDATA\[14\]\[15\],9.62µm
PWRITE,9.61µm
_0179_,9.6µm
net52,9.6µm
net68,9.48µm
_0248_,9.44µm
_0180_,9.4µm
DDATA\[11\]\[1\],9.32µm
_0146_,9.32µm
net100,9.32µm
DDATA\[3\]\[5\],9.26µm
DDATA\[2\]\[15\],9.24µm
_0382_,9.24µm
DDATA\[8\]\[7\],9.2µm
DDATA\[12\]\[3\],9.18µm
_0288_,9.16µm
net58,9.14µm
DDATA\[9\]\[4\],9.08µm
DDATA\[1\]\[6\],9.02µm
DDATA\[9\]\[2\],9.02µm
_0021_,9.02µm
_0156_,9.02µm
_0022_,8.98µm
_0025_,8.94µm
_0168_,8.94µm
DDATA\[10\]\[1\],8.9µm
_0041_,8.9µm
DDATA\[6\]\[0\],8.88µm
PWDATA[8],8.85µm
araddr[3],8.81µm
awaddr[4],8.81µm
net247,8.8µm
DDATA\[12\]\[7\],8.74µm
PADDR[2],8.73µm
DDATA\[8\]\[5\],8.72µm
PRDATA[0],8.72µm
PRDATA[10],8.72µm
PRDATA[11],8.72µm
PRDATA[2],8.72µm
PRDATA[7],8.72µm
PRDATA[9],8.72µm
wdata[10],8.72µm
