Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_105,VGND,li1,55.2000,130.5600,0.001207
FILLER_43_93,VGND,li1,51.0600,130.5600,0.001082
FILLER_43_81,VGND,li1,45.5400,130.5600,0.000881
FILLER_43_69,VGND,li1,40.0200,130.5600,0.000750
FILLER_43_57,VGND,li1,34.5000,130.5600,0.000583
FILLER_43_55,VGND,li1,31.0500,130.5600,0.000445
FILLER_43_51,VGND,li1,29.9000,130.5600,0.000445
FILLER_43_39,VGND,li1,26.2200,130.5600,0.000301
FILLER_43_27,VGND,li1,20.7000,130.5600,0.000301
FILLER_43_15,VGND,li1,15.1800,130.5600,0.000301
FILLER_43_3,VGND,li1,9.6600,130.5600,0.000301
FILLER_42_247,VGND,li1,119.6000,125.1200,0.002905
FILLER_42_239,VGND,li1,117.3000,125.1200,0.002884
FILLER_42_183,VGND,li1,91.0800,125.1200,0.002514
FILLER_42_171,VGND,li1,86.9400,125.1200,0.002394
FILLER_42_166,VGND,li1,82.3400,125.1200,0.002282
FILLER_42_138,VGND,li1,69.4600,125.1200,0.001945
FILLER_42_117,VGND,li1,59.5700,125.1200,0.001601
FILLER_42_109,VGND,li1,57.5000,125.1200,0.001518
FILLER_42_97,VGND,li1,52.9000,125.1200,0.001361
FILLER_42_85,VGND,li1,47.3800,125.1200,0.001162
FILLER_42_83,VGND,li1,43.9300,125.1200,0.000980
FILLER_42_77,VGND,li1,42.3200,125.1200,0.000980
FILLER_42_65,VGND,li1,38.1800,125.1200,0.000830
FILLER_42_53,VGND,li1,32.6600,125.1200,0.000632
FILLER_42_41,VGND,li1,27.1400,125.1200,0.000433
FILLER_42_29,VGND,li1,21.6200,125.1200,0.000361
FILLER_42_27,VGND,li1,18.1700,125.1200,0.000361
FILLER_42_15,VGND,li1,15.1800,125.1200,0.000361
FILLER_42_3,VGND,li1,9.6600,125.1200,0.000361
FILLER_41_270,VGND,li1,130.1800,125.1200,0.002951
FILLER_41_248,VGND,li1,120.0600,125.1200,0.002905
FILLER_41_236,VGND,li1,116.8400,125.1200,0.002884
FILLER_41_186,VGND,li1,91.7700,125.1200,0.002514
FILLER_41_178,VGND,li1,89.2400,125.1200,0.002475
FILLER_41_167,VGND,li1,82.5700,125.1200,0.002328
FILLER_41_152,VGND,li1,76.1300,125.1200,0.002153
FILLER_41_133,VGND,li1,67.3900,125.1200,0.001876
FILLER_41_125,VGND,li1,64.8600,125.1200,0.001775
FILLER_41_113,VGND,li1,60.2600,125.1200,0.001601
FILLER_41_111,VGND,li1,56.8100,125.1200,0.001444
FILLER_41_105,VGND,li1,55.2000,125.1200,0.001444
FILLER_41_93,VGND,li1,51.0600,125.1200,0.001295
FILLER_41_81,VGND,li1,45.5400,125.1200,0.001054
FILLER_41_69,VGND,li1,40.0200,125.1200,0.000897
FILLER_41_57,VGND,li1,34.5000,125.1200,0.000698
FILLER_41_55,VGND,li1,31.0500,125.1200,0.000532
FILLER_41_51,VGND,li1,29.9000,125.1200,0.000532
FILLER_41_39,VGND,li1,26.2200,125.1200,0.000361
FILLER_41_27,VGND,li1,20.7000,125.1200,0.000361
FILLER_41_15,VGND,li1,15.1800,125.1200,0.000361
FILLER_41_3,VGND,li1,9.6600,125.1200,0.000361
FILLER_40_266,VGND,li1,128.8000,119.6800,0.004110
FILLER_40_253,VGND,li1,122.8200,119.6800,0.004070
FILLER_40_246,VGND,li1,118.9100,119.6800,0.004047
FILLER_40_197,VGND,li1,96.8300,119.6800,0.003667
FILLER_40_190,VGND,li1,94.3000,119.6800,0.003598
FILLER_40_178,VGND,li1,90.1600,119.6800,0.003435
FILLER_40_149,VGND,li1,74.7500,119.6800,0.002826
FILLER_40_141,VGND,li1,72.2200,119.6800,0.002743
FILLER_40_139,VGND,li1,69.6900,119.6800,0.002555
FILLER_40_133,VGND,li1,68.0800,119.6800,0.002555
FILLER_40_121,VGND,li1,63.9400,119.6800,0.002346
FILLER_40_109,VGND,li1,58.4200,119.6800,0.002051
FILLER_40_97,VGND,li1,52.9000,119.6800,0.001794
FILLER_40_85,VGND,li1,47.3800,119.6800,0.001570
FILLER_40_83,VGND,li1,43.9300,119.6800,0.001324
FILLER_40_77,VGND,li1,42.3200,119.6800,0.001324
FILLER_40_65,VGND,li1,38.1800,119.6800,0.001122
FILLER_40_53,VGND,li1,32.6600,119.6800,0.000853
FILLER_40_41,VGND,li1,27.1400,119.6800,0.000584
FILLER_40_29,VGND,li1,21.6200,119.6800,0.000487
FILLER_40_27,VGND,li1,18.1700,119.6800,0.000487
FILLER_40_15,VGND,li1,15.1800,119.6800,0.000487
FILLER_40_3,VGND,li1,9.6600,119.6800,0.000487
FILLER_39_277,VGND,li1,133.6300,119.6800,0.004116
FILLER_39_268,VGND,li1,129.2600,119.6800,0.004110
FILLER_39_260,VGND,li1,125.5800,119.6800,0.004089
FILLER_39_249,VGND,li1,120.2900,119.6800,0.004047
FILLER_39_212,VGND,li1,103.2700,119.6800,0.003829
FILLER_39_205,VGND,li1,100.2800,119.6800,0.003755
FILLER_39_172,VGND,li1,86.4800,119.6800,0.003332
FILLER_39_167,VGND,li1,82.5700,119.6800,0.003198
FILLER_39_162,VGND,li1,80.5000,119.6800,0.003110
FILLER_39_148,VGND,li1,74.0600,119.6800,0.002826
FILLER_39_136,VGND,li1,70.8400,119.6800,0.002649
FILLER_39_104,VGND,li1,55.2000,119.6800,0.001950
FILLER_39_97,VGND,li1,50.3700,119.6800,0.001660
FILLER_39_93,VGND,li1,49.2200,119.6800,0.001660
FILLER_39_81,VGND,li1,45.5400,119.6800,0.001424
FILLER_39_69,VGND,li1,40.0200,119.6800,0.001212
FILLER_39_57,VGND,li1,34.5000,119.6800,0.000943
FILLER_39_55,VGND,li1,31.0500,119.6800,0.000719
FILLER_39_51,VGND,li1,29.9000,119.6800,0.000719
FILLER_39_39,VGND,li1,26.2200,119.6800,0.000487
FILLER_39_27,VGND,li1,20.7000,119.6800,0.000487
FILLER_39_15,VGND,li1,15.1800,119.6800,0.000487
FILLER_39_3,VGND,li1,9.6600,119.6800,0.000487
FILLER_38_273,VGND,li1,131.5600,114.2400,0.004232
FILLER_38_251,VGND,li1,121.2100,114.2400,0.004167
FILLER_38_212,VGND,li1,103.2700,114.2400,0.003874
FILLER_38_186,VGND,li1,91.3100,114.2400,0.003539
FILLER_38_176,VGND,li1,87.4000,114.2400,0.003471
FILLER_38_156,VGND,li1,77.7400,114.2400,0.003085
FILLER_38_149,VGND,li1,74.5200,114.2400,0.002976
FILLER_38_141,VGND,li1,72.2200,114.2400,0.002875
FILLER_38_85,VGND,li1,44.8500,114.2400,0.001631
FILLER_38_83,VGND,li1,43.9300,114.2400,0.001519
FILLER_38_77,VGND,li1,42.3200,114.2400,0.001519
FILLER_38_65,VGND,li1,38.1800,114.2400,0.001288
FILLER_38_53,VGND,li1,32.6600,114.2400,0.000979
FILLER_38_41,VGND,li1,27.1400,114.2400,0.000671
FILLER_38_29,VGND,li1,21.6200,114.2400,0.000559
FILLER_38_27,VGND,li1,18.1700,114.2400,0.000559
FILLER_38_15,VGND,li1,15.1800,114.2400,0.000559
FILLER_38_3,VGND,li1,9.6600,114.2400,0.000559
FILLER_37_281,VGND,li1,135.4700,114.2400,0.004237
FILLER_37_279,VGND,li1,134.0900,114.2400,0.004237
FILLER_37_210,VGND,li1,102.3500,114.2400,0.003874
FILLER_37_166,VGND,li1,82.3400,114.2400,0.003312
FILLER_37_138,VGND,li1,70.8400,114.2400,0.002875
FILLER_37_113,VGND,li1,57.7300,114.2400,0.002291
FILLER_37_69,VGND,li1,40.0200,114.2400,0.001391
FILLER_37_57,VGND,li1,34.5000,114.2400,0.001082
FILLER_37_55,VGND,li1,31.0500,114.2400,0.000825
FILLER_37_51,VGND,li1,29.9000,114.2400,0.000825
FILLER_37_39,VGND,li1,26.2200,114.2400,0.000559
FILLER_37_27,VGND,li1,20.7000,114.2400,0.000559
FILLER_37_15,VGND,li1,15.1800,114.2400,0.000559
FILLER_37_3,VGND,li1,9.6600,114.2400,0.000559
FILLER_36_282,VGND,li1,135.7000,108.8000,0.002695
FILLER_36_270,VGND,li1,130.1800,108.8000,0.002694
FILLER_36_250,VGND,li1,120.9800,108.8000,0.002672
FILLER_36_204,VGND,li1,99.8200,108.8000,0.002460
FILLER_36_194,VGND,li1,95.2200,108.8000,0.002368
FILLER_36_180,VGND,li1,88.7800,108.8000,0.002249
FILLER_36_159,VGND,li1,78.8900,108.8000,0.002068
FILLER_36_153,VGND,li1,77.2800,108.8000,0.002028
FILLER_36_138,VGND,li1,69.4600,108.8000,0.001846
FILLER_36_105,VGND,li1,55.2000,108.8000,0.001420
FILLER_36_85,VGND,li1,45.3100,108.8000,0.001049
FILLER_36_83,VGND,li1,43.9300,108.8000,0.000974
FILLER_36_77,VGND,li1,42.3200,108.8000,0.000974
FILLER_36_65,VGND,li1,38.1800,108.8000,0.000826
FILLER_36_53,VGND,li1,32.6600,108.8000,0.000628
FILLER_36_41,VGND,li1,27.1400,108.8000,0.000430
FILLER_36_29,VGND,li1,21.6200,108.8000,0.000359
FILLER_36_27,VGND,li1,18.1700,108.8000,0.000359
FILLER_36_15,VGND,li1,15.1800,108.8000,0.000359
FILLER_36_3,VGND,li1,9.6600,108.8000,0.000359
FILLER_35_281,VGND,li1,135.4700,108.8000,0.002695
FILLER_35_225,VGND,li1,109.4800,108.8000,0.002583
FILLER_35_185,VGND,li1,91.0800,108.8000,0.002289
FILLER_35_173,VGND,li1,87.8600,108.8000,0.002249
FILLER_35_166,VGND,li1,82.3400,108.8000,0.002113
FILLER_35_160,VGND,li1,79.5800,108.8000,0.002068
FILLER_35_149,VGND,li1,74.5200,108.8000,0.001940
FILLER_35_137,VGND,li1,71.3000,108.8000,0.001893
FILLER_35_121,VGND,li1,62.1000,108.8000,0.001639
FILLER_35_117,VGND,li1,59.5700,108.8000,0.001562
FILLER_35_113,VGND,li1,58.4200,108.8000,0.001488
FILLER_35_108,VGND,li1,56.1200,108.8000,0.001420
FILLER_35_96,VGND,li1,52.4400,108.8000,0.001275
FILLER_35_81,VGND,li1,45.5400,108.8000,0.001049
FILLER_35_69,VGND,li1,40.0200,108.8000,0.000892
FILLER_35_57,VGND,li1,34.5000,108.8000,0.000694
FILLER_35_55,VGND,li1,31.0500,108.8000,0.000529
FILLER_35_51,VGND,li1,29.9000,108.8000,0.000529
FILLER_35_39,VGND,li1,26.2200,108.8000,0.000359
FILLER_35_27,VGND,li1,20.7000,108.8000,0.000359
FILLER_35_15,VGND,li1,15.1800,108.8000,0.000359
FILLER_35_3,VGND,li1,9.6600,108.8000,0.000359
FILLER_34_279,VGND,li1,134.0900,103.3600,0.002360
FILLER_34_253,VGND,li1,122.1300,103.3600,0.002292
FILLER_34_250,VGND,li1,120.9800,103.3600,0.002278
FILLER_34_217,VGND,li1,106.0300,103.3600,0.002155
FILLER_34_190,VGND,li1,94.3000,103.3600,0.002007
FILLER_34_178,VGND,li1,90.1600,103.3600,0.001945
FILLER_34_166,VGND,li1,84.6400,103.3600,0.001839
FILLER_34_160,VGND,li1,79.5800,103.3600,0.001766
FILLER_34_153,VGND,li1,76.8200,103.3600,0.001732
FILLER_34_141,VGND,li1,73.1400,103.3600,0.001663
FILLER_34_134,VGND,li1,67.6200,103.3600,0.001553
FILLER_34_115,VGND,li1,61.1800,103.3600,0.001402
FILLER_34_103,VGND,li1,55.6600,103.3600,0.001264
FILLER_34_96,VGND,li1,50.6000,103.3600,0.001140
FILLER_34_83,VGND,li1,43.9300,103.3600,0.000958
FILLER_34_71,VGND,li1,40.9400,103.3600,0.000870
FILLER_34_65,VGND,li1,36.1100,103.3600,0.000703
FILLER_34_53,VGND,li1,32.6600,103.3600,0.000607
FILLER_34_41,VGND,li1,27.1400,103.3600,0.000416
FILLER_34_29,VGND,li1,21.6200,103.3600,0.000347
FILLER_34_27,VGND,li1,18.1700,103.3600,0.000347
FILLER_34_15,VGND,li1,15.1800,103.3600,0.000347
FILLER_34_3,VGND,li1,9.6600,103.3600,0.000347
FILLER_33_281,VGND,li1,135.4700,103.3600,0.002360
FILLER_33_279,VGND,li1,134.0900,103.3600,0.002360
FILLER_33_261,VGND,li1,125.8100,103.3600,0.002322
FILLER_33_255,VGND,li1,124.2000,103.3600,0.002309
FILLER_33_249,VGND,li1,120.7500,103.3600,0.002278
FILLER_33_237,VGND,li1,117.3000,103.3600,0.002259
FILLER_33_225,VGND,li1,111.7800,103.3600,0.002211
FILLER_33_211,VGND,li1,103.9600,103.3600,0.002132
