Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_136,VPWR,li1,69.0000,127.8400,1.798246
FILLER_43_113,VPWR,li1,58.1900,127.8400,1.798578
FILLER_43_111,VPWR,li1,56.8100,127.8400,1.798641
FILLER_43_105,VPWR,li1,55.2000,127.8400,1.798641
FILLER_43_93,VPWR,li1,51.0600,127.8400,1.798768
FILLER_43_81,VPWR,li1,45.5400,127.8400,1.798971
FILLER_43_69,VPWR,li1,40.0200,127.8400,1.799105
FILLER_43_57,VPWR,li1,34.5000,127.8400,1.799273
FILLER_43_55,VPWR,li1,31.0500,127.8400,1.799414
FILLER_43_51,VPWR,li1,29.9000,127.8400,1.799414
FILLER_43_39,VPWR,li1,26.2200,127.8400,1.799526
FILLER_43_27,VPWR,li1,20.7000,127.8400,1.799695
FILLER_43_15,VPWR,li1,15.1800,127.8400,1.799695
FILLER_43_3,VPWR,li1,9.6600,127.8400,1.799695
FILLER_42_247,VPWR,li1,119.6000,127.8400,1.797506
FILLER_42_239,VPWR,li1,117.3000,127.8400,1.797519
FILLER_42_183,VPWR,li1,91.0800,127.8400,1.797798
FILLER_42_171,VPWR,li1,86.9400,127.8400,1.797871
FILLER_42_166,VPWR,li1,82.3400,127.8400,1.797979
FILLER_42_138,VPWR,li1,69.4600,127.8400,1.798246
FILLER_42_117,VPWR,li1,59.5700,127.8400,1.798508
FILLER_42_109,VPWR,li1,57.5000,127.8400,1.798578
FILLER_42_97,VPWR,li1,52.9000,127.8400,1.798711
FILLER_42_85,VPWR,li1,47.3800,127.8400,1.798880
FILLER_42_83,VPWR,li1,43.9300,127.8400,1.799034
FILLER_42_77,VPWR,li1,42.3200,127.8400,1.799034
FILLER_42_65,VPWR,li1,38.1800,127.8400,1.799161
FILLER_42_53,VPWR,li1,32.6600,127.8400,1.799329
FILLER_42_41,VPWR,li1,27.1400,127.8400,1.799526
FILLER_42_29,VPWR,li1,21.6200,127.8400,1.799695
FILLER_42_27,VPWR,li1,18.1700,127.8400,1.799695
FILLER_42_15,VPWR,li1,15.1800,127.8400,1.799695
FILLER_42_3,VPWR,li1,9.6600,127.8400,1.799695
FILLER_41_270,VPWR,li1,130.1800,122.4000,1.796012
FILLER_41_248,VPWR,li1,120.0600,122.4000,1.796054
FILLER_41_236,VPWR,li1,116.8400,122.4000,1.796067
FILLER_41_186,VPWR,li1,91.7700,122.4000,1.796540
FILLER_41_178,VPWR,li1,89.2400,122.4000,1.796611
FILLER_41_167,VPWR,li1,82.5700,122.4000,1.796835
FILLER_41_152,VPWR,li1,76.1300,122.4000,1.797061
FILLER_41_133,VPWR,li1,67.3900,122.4000,1.797445
FILLER_41_125,VPWR,li1,64.8600,122.4000,1.797601
FILLER_41_113,VPWR,li1,60.2600,122.4000,1.797766
FILLER_41_111,VPWR,li1,56.8100,122.4000,1.797994
FILLER_41_105,VPWR,li1,55.2000,122.4000,1.797994
FILLER_41_93,VPWR,li1,51.0600,122.4000,1.798181
FILLER_41_81,VPWR,li1,45.5400,122.4000,1.798482
FILLER_41_69,VPWR,li1,40.0200,122.4000,1.798679
FILLER_41_57,VPWR,li1,34.5000,122.4000,1.798927
FILLER_41_55,VPWR,li1,31.0500,122.4000,1.799135
FILLER_41_51,VPWR,li1,29.9000,122.4000,1.799135
FILLER_41_39,VPWR,li1,26.2200,122.4000,1.799300
FILLER_41_27,VPWR,li1,20.7000,122.4000,1.799549
FILLER_41_15,VPWR,li1,15.1800,122.4000,1.799549
FILLER_41_3,VPWR,li1,9.6600,122.4000,1.799549
FILLER_40_266,VPWR,li1,128.8000,122.4000,1.796012
FILLER_40_253,VPWR,li1,122.8200,122.4000,1.796038
FILLER_40_246,VPWR,li1,118.9100,122.4000,1.796054
FILLER_40_197,VPWR,li1,96.8300,122.4000,1.796418
FILLER_40_190,VPWR,li1,94.3000,122.4000,1.796469
FILLER_40_178,VPWR,li1,90.1600,122.4000,1.796611
FILLER_40_149,VPWR,li1,74.7500,122.4000,1.797161
FILLER_40_141,VPWR,li1,72.2200,122.4000,1.797262
FILLER_40_139,VPWR,li1,69.6900,122.4000,1.797342
FILLER_40_133,VPWR,li1,68.0800,122.4000,1.797445
FILLER_40_121,VPWR,li1,63.9400,122.4000,1.797601
